'Elapsed time','V5','V2'
'seconds','mV','mV'
0.000,-0.200,0.005
0.003,-0.200,0.005
0.006,-0.200,0.005
0.008,-0.200,0.005
0.011,-0.200,0.005
0.014,-0.200,0.005
0.017,-0.200,0.005
0.019,-0.200,0.005
0.022,-0.190,0.005
0.025,-0.175,0.005
0.028,-0.190,0.005
0.031,-0.205,-0.005
0.033,-0.210,-0.005
0.036,-0.200,0.010
0.039,-0.195,-0.010
0.042,-0.210,-0.010
0.044,-0.230,-0.020
0.047,-0.235,-0.035
0.050,-0.245,-0.025
0.053,-0.235,-0.010
0.056,-0.230,-0.030
0.058,-0.230,-0.040
0.061,-0.245,-0.050
0.064,-0.270,-0.060
0.067,-0.260,-0.045
0.069,-0.240,-0.035
0.072,-0.225,-0.055
0.075,-0.220,-0.065
0.078,-0.225,-0.075
0.081,-0.225,-0.095
0.083,-0.225,-0.085
0.086,-0.225,-0.075
0.089,-0.220,-0.085
0.092,-0.235,-0.090
0.094,-0.260,-0.100
0.097,-0.260,-0.120
0.100,-0.260,-0.105
0.103,-0.260,-0.100
0.106,-0.255,-0.105
0.108,-0.255,-0.125
0.111,-0.260,-0.135
0.114,-0.260,-0.145
0.117,-0.265,-0.130
0.119,-0.250,-0.110
0.122,-0.240,-0.130
0.125,-0.255,-0.140
0.128,-0.265,-0.150
0.131,-0.280,-0.150
0.133,-0.260,-0.155
0.136,-0.255,-0.140
0.139,-0.250,-0.150
0.142,-0.245,-0.150
0.144,-0.250,-0.175
0.147,-0.255,-0.170
0.150,-0.245,-0.155
0.153,-0.240,-0.155
0.156,-0.250,-0.155
0.158,-0.245,-0.170
0.161,-0.265,-0.180
0.164,-0.270,-0.175
0.167,-0.250,-0.165
0.169,-0.250,-0.150
0.172,-0.245,-0.160
0.175,-0.250,-0.160
0.178,-0.255,-0.150
0.181,-0.255,-0.150
0.183,-0.240,-0.140
0.186,-0.245,-0.125
0.189,-0.265,-0.125
0.192,-0.260,-0.130
0.194,-0.270,-0.125
0.197,-0.280,-0.135
0.200,-0.280,-0.125
0.203,-0.265,-0.115
0.206,-0.265,-0.125
0.208,-0.260,-0.135
0.211,-0.265,-0.135
0.214,-0.255,-0.140
0.217,-0.245,-0.135
0.219,-0.230,-0.130
0.222,-0.230,-0.145
0.225,-0.235,-0.155
0.228,-0.230,-0.165
0.231,-0.235,-0.185
0.233,-0.215,-0.195
0.236,-0.190,-0.180
0.239,-0.175,-0.190
0.242,-0.175,-0.200
0.244,-0.195,-0.210
0.247,-0.225,-0.220
0.250,-0.225,-0.205
0.253,-0.225,-0.215
