'Elapsed time','MLII','V1'
'seconds','mV','mV'
0.000,-0.010,-0.615
0.003,-0.010,-0.615
0.006,-0.010,-0.615
0.008,-0.010,-0.615
0.011,-0.010,-0.615
0.014,-0.010,-0.615
0.017,-0.010,-0.615
0.019,-0.010,-0.615
0.022,-0.010,-0.620
0.025,-0.035,-0.610
0.028,-0.070,-0.595
0.031,-0.100,-0.555
0.033,-0.125,-0.555
0.036,-0.150,-0.530
0.039,-0.160,-0.525
0.042,-0.175,-0.525
0.044,-0.180,-0.510
0.047,-0.195,-0.505
0.050,-0.225,-0.495
0.053,-0.255,-0.485
0.056,-0.310,-0.485
0.058,-0.340,-0.480
0.061,-0.370,-0.485
0.064,-0.385,-0.475
0.067,-0.400,-0.475
0.069,-0.405,-0.440
0.072,-0.395,-0.390
0.075,-0.395,-0.370
0.078,-0.390,-0.350
0.081,-0.395,-0.325
0.083,-0.385,-0.305
0.086,-0.390,-0.290
0.089,-0.395,-0.265
0.092,-0.395,-0.255
0.094,-0.415,-0.260
0.097,-0.410,-0.260
0.100,-0.400,-0.270
0.103,-0.355,-0.305
0.106,-0.320,-0.330
0.108,-0.275,-0.350
0.111,-0.215,-0.370
0.114,-0.160,-0.420
0.117,-0.135,-0.450
0.119,-0.120,-0.490
0.122,-0.115,-0.525
0.125,-0.105,-0.550
0.128,-0.090,-0.570
0.131,-0.080,-0.580
0.133,-0.075,-0.580
0.136,-0.050,-0.570
0.139,-0.055,-0.585
0.142,-0.085,-0.580
0.144,-0.130,-0.595
0.147,-0.190,-0.605
0.150,-0.265,-0.605
0.153,-0.325,-0.640
0.156,-0.380,-0.665
0.158,-0.425,-0.675
0.161,-0.450,-0.700
0.164,-0.465,-0.690
0.167,-0.500,-0.680
0.169,-0.500,-0.660
0.172,-0.500,-0.675
0.175,-0.490,-0.665
0.178,-0.475,-0.660
0.181,-0.470,-0.670
0.183,-0.475,-0.690
0.186,-0.485,-0.710
0.189,-0.485,-0.705
0.192,-0.505,-0.705
0.194,-0.505,-0.700
0.197,-0.510,-0.690
0.200,-0.495,-0.690
0.203,-0.490,-0.690
0.206,-0.485,-0.685
0.208,-0.480,-0.680
0.211,-0.500,-0.675
0.214,-0.505,-0.675
0.217,-0.500,-0.650
0.219,-0.490,-0.640
0.222,-0.490,-0.610
0.225,-0.485,-0.570
0.228,-0.505,-0.530
0.231,-0.530,-0.520
0.233,-0.560,-0.585
0.236,-0.560,-0.775
0.239,-0.505,-1.065
0.242,-0.380,-1.455
0.244,-0.175,-1.870
0.247,0.105,-2.240
0.250,0.445,-2.505
0.253,0.815,-2.680
0.256,1.215,-2.740
0.258,1.575,-2.735
0.261,1.855,-2.700
0.264,1.965,-2.650
0.267,1.880,-2.600
0.269,1.620,-2.545
0.272,1.260,-2.465
0.275,0.860,-2.370
0.278,0.430,-2.205
0.281,0.010,-1.965
0.283,-0.375,-1.655
0.286,-0.720,-1.380
0.289,-1.010,-1.160
0.292,-1.210,-1.030
0.294,-1.325,-0.970
0.297,-1.320,-0.930
0.300,-1.230,-0.915
0.303,-1.100,-0.880
0.306,-0.960,-0.860
0.308,-0.845,-0.820
0.311,-0.780,-0.785
0.314,-0.750,-0.765
0.317,-0.760,-0.755
0.319,-0.800,-0.750
0.322,-0.850,-0.760
0.325,-0.885,-0.765
0.328,-0.905,-0.760
0.331,-0.900,-0.745
0.333,-0.905,-0.730
0.336,-0.895,-0.715
0.339,-0.905,-0.705
0.342,-0.920,-0.685
0.344,-0.930,-0.665
0.347,-0.935,-0.665
0.350,-0.930,-0.650
0.353,-0.920,-0.660
0.356,-0.910,-0.655
0.358,-0.905,-0.645
0.361,-0.920,-0.650
0.364,-0.925,-0.640
0.367,-0.940,-0.615
0.369,-0.940,-0.610
0.372,-0.935,-0.590
0.375,-0.930,-0.580
0.378,-0.915,-0.555
0.381,-0.900,-0.530
0.383,-0.885,-0.510
0.386,-0.890,-0.510
0.389,-0.905,-0.505
0.392,-0.910,-0.505
0.394,-0.905,-0.490
0.397,-0.885,-0.460
0.400,-0.850,-0.440
0.403,-0.815,-0.405
0.406,-0.795,-0.385
0.408,-0.775,-0.365
0.411,-0.770,-0.355
0.414,-0.755,-0.345
0.417,-0.730,-0.330
0.419,-0.710,-0.345
0.422,-0.675,-0.315
0.425,-0.640,-0.315
0.428,-0.615,-0.310
0.431,-0.585,-0.280
0.433,-0.560,-0.280
0.436,-0.540,-0.260
0.439,-0.515,-0.255
0.442,-0.480,-0.250
0.444,-0.440,-0.235
0.447,-0.395,-0.235
0.450,-0.355,-0.225
0.453,-0.330,-0.220
0.456,-0.300,-0.225
0.458,-0.280,-0.240
