'Elapsed time','MLII','V1'
'seconds','mV','mV'
0.000,-0.245,0.210
0.003,-0.245,0.210
0.006,-0.245,0.210
0.008,-0.245,0.210
0.011,-0.245,0.210
0.014,-0.245,0.210
0.017,-0.245,0.210
0.019,-0.245,0.210
0.022,-0.240,0.210
0.025,-0.235,0.215
0.028,-0.195,0.205
0.031,-0.180,0.215
0.033,-0.155,0.215
0.036,-0.135,0.210
0.039,-0.125,0.205
0.042,-0.140,0.215
0.044,-0.165,0.205
0.047,-0.170,0.200
0.050,-0.185,0.200
0.053,-0.195,0.185
0.056,-0.195,0.185
0.058,-0.190,0.190
0.061,-0.170,0.195
0.064,-0.165,0.200
0.067,-0.165,0.210
0.069,-0.170,0.220
0.072,-0.165,0.240
0.075,-0.175,0.230
0.078,-0.180,0.225
0.081,-0.195,0.220
0.083,-0.195,0.215
0.086,-0.195,0.215
0.089,-0.215,0.205
0.092,-0.215,0.210
0.094,-0.200,0.215
0.097,-0.185,0.220
0.100,-0.175,0.215
0.103,-0.175,0.230
0.106,-0.175,0.230
0.108,-0.190,0.235
0.111,-0.200,0.215
0.114,-0.205,0.220
0.117,-0.200,0.215
0.119,-0.200,0.205
0.122,-0.185,0.205
0.125,-0.200,0.195
0.128,-0.200,0.200
0.131,-0.200,0.220
0.133,-0.190,0.215
0.136,-0.160,0.225
0.139,-0.145,0.220
0.142,-0.140,0.215
0.144,-0.160,0.215
0.147,-0.175,0.205
0.150,-0.205,0.220
0.153,-0.225,0.230
0.156,-0.255,0.215
0.158,-0.260,0.220
0.161,-0.230,0.215
0.164,-0.185,0.215
0.167,-0.165,0.200
0.169,-0.160,0.235
0.172,-0.170,0.240
0.175,-0.200,0.240
0.178,-0.220,0.250
0.181,-0.215,0.235
0.183,-0.215,0.235
0.186,-0.215,0.210
0.189,-0.190,0.195
0.192,-0.190,0.200
0.194,-0.190,0.205
0.197,-0.195,0.210
0.200,-0.195,0.220
0.203,-0.195,0.230
0.206,-0.190,0.215
0.208,-0.190,0.240
0.211,-0.185,0.230
0.214,-0.185,0.210
0.217,-0.180,0.205
0.219,-0.170,0.210
0.222,-0.185,0.215
0.225,-0.200,0.230
0.228,-0.215,0.235
0.231,-0.210,0.235
0.233,-0.185,0.225
0.236,-0.150,0.220
0.239,-0.145,0.235
0.242,-0.170,0.240
0.244,-0.200,0.250
0.247,-0.225,0.240
0.250,-0.240,0.250
0.253,-0.225,0.215
0.256,-0.205,0.210
0.258,-0.200,0.200
0.261,-0.195,0.205
0.264,-0.195,0.225
0.267,-0.205,0.220
0.269,-0.205,0.250
0.272,-0.205,0.245
0.275,-0.210,0.235
0.278,-0.210,0.220
0.281,-0.190,0.200
0.283,-0.175,0.190
